name;brand;type;rating_value;rating_count;year;segment;perfumers;families;top_notes;middle_notes;bottom_notes;users_notes;url
Dream Fearlessly;Mary Kay;Парфюмерная вода;4,3;13 оценок;2017;mass-market;;chypre, floral, east;ananas, bergamot, rose, pink-pepper;apelsinovyj-cvet-flerdoranzh, jasmine, lily;benzoin, kedr, pachuli;benzoin, lily, ananas, apelsinovyj-cvet-flerdoranzh, bergamot, kedr, pachuli, rose, jasmine;https://aromo.ru/fragrance/mary-kay-dream-fearlessly-perfume-water-eau-de-parfum-404101/
Today Tomorrow Always for Him (2014);Avon;Туалетная вода;4,3;13 оценок;2014;mass-market;olivier-cresp;leather, fern, spicy;bergamot, coriander, green-notes;lavender, neroli, sage;cashmeran, labdanum, zamsha;bergamot, coriander, lavender, neroli, sage;https://aromo.ru/fragrance/avon-today-tomorrow-always-for-him-_2014-perfume-water-eau-de-parfum-92939/
Vanilla Ice Cream;Demeter;Одеколон;4,3;13 оценок;2007;mass-market;;east, gourmet;;gourmand-notes, moloko, vanil, voda;;moloko, vanil, gourmand-notes, voda;https://aromo.ru/fragrance/demeter-fragrance-vanilla-ice-cream-cologne-eau-de-cologne-94864/
Essential;Lacoste;Туалетная вода;4,3;13 оценок;2005;suite;;green, wood;bergamot, list-i-buton-chernoj-smorodiny, list-pomidora, tangerine;pepper, rose;drevesnyje-noty, pachuli, sandal;bergamot, pepper, drevesnyje-noty, list-pomidora, sandal, tangerine;https://aromo.ru/fragrance/lacoste-essential-toilet-water-eau-de-toilette-55857/
The One Grey;Dolce & Gabbana;Туалетная вода;4,3;13 оценок;2018;suite;;fern, east;grapefruit, cardamom;lavender, vetiver;ambra, tabak;grapefruit, tabak, vetiver;https://aromo.ru/fragrance/dolcegabbana-the-one-grey-toilet-water-eau-de-toilette-1432619/
Coco Mademoiselle L'Eau Privée;Chanel;Парфюмерная вода;4,3;13 оценок;2020;suite;olivier-polge;citrus, floral;mandarin;rose, jasmine;white-musk;white-musk, mandarin, rose, jasmine;https://aromo.ru/fragrance/chanel-coco-mademoiselle-l_eau-privee-perfume-water-eau-de-parfum-2349222/
Wanted By Night;Azzaro;Парфюмерная вода;4,3;13 оценок;2018;suite;quentin-bisch, michel-girard;wood, east, aromatic;cinnamon, lavender, lemon, mandarin;fruity-notes, red-cedar, ladan, caraway;benzoin, iso-e-super, kedr, cypress, kozha, pachuli, tabak, vanil;red-cedar, benzoin, fruity-notes, cypress, cinnamon, ladan, lavender, lemon, tabak, caraway;https://aromo.ru/fragrance/azzaro-wanted-by-night-perfume-water-eau-de-parfum-1188897/
Miracle Secret;Lancôme;Парфюмерная вода;4,3;13 оценок;2017;suite;;floral;bergamot, grusha;peony, rose, zhasmin-sambak;ambra, kedr, musk, vanil;kedr, musk, peony, rose, vanil, ambra, bergamot, grusha, zhasmin-sambak;https://aromo.ru/fragrance/lancome-miracle-secret-perfume-water-eau-de-parfum-849161/
Bleu Lazuli;Giorgio Armani;Парфюмерная вода;4,3;13 оценок;2018;suite;pascal-gaurin;spicy, aromatic;bergamot, chaj, cardamom;osmantus, sliva, jasmine;sandal, tabak, vanil;cardamom, bergamot, sliva, chaj, sandal, vanil, osmantus, tabak, jasmine;https://aromo.ru/fragrance/giorgio-armani-bleu-lazuli-perfume-water-eau-de-parfum-941063/
CH L'Eau;Carolina Herrera;Туалетная вода;4,3;13 оценок;2011;suite;;floral;orange, bergamot, cvetok-limona, bitter-orange;violet, lily-of-the-valley, rose, jasmine;geliotrop, apple-tree, cinnamon, oleandr, sandal;bitter-orange, cinnamon, sandal;https://aromo.ru/fragrance/carolina-herrera-ch-l_eau-toilet-water-eau-de-toilette-47548/
