url;Perfume;Brand;Country;Gender;Year;Top;Middle;Base
https://www.fragrantica.com/perfume/vivamor-parfums/sweet-sin-88700.html;sweet-sin;vivamor-parfums;France;unisex;2023;peach, dried apricot;rum, benzoin, tonka bean;indonesian patchouli leaf, madagascar vanilla, white musk
https://www.fragrantica.com/perfume/hermes/tutti-twilly-d-hermes-83963.html;tutti-twilly-d-hermes;hermes;France;women;2023;litchi;ginger flower;musk
https://www.fragrantica.com/perfume/bi-es/sankai-black-30438.html;sankai-black;bi-es;Poland;men;;lemon, orange leaf, pineapple;lavender, geranium, clary sage, lily-of-the-valley, rose;musk, sandalwood, cedar
https://www.fragrantica.com/perfume/the-dua-brand/forest-oud-39646.html;forest-oud;the-dua-brand;USA;unisex;;pine needles, grass;palisander rosewood;amber, agarwood (oud)
https://www.fragrantica.com/perfume/j-scent/wood-flake-66873.html;wood-flake;j-scent;Japan;unisex;2019;hinoki wood, cedar;vetiver, rose;guaiac wood, vanilla, musk, sandalwood
https://www.fragrantica.com/perfume/oriflame/glacier-athletic-19218.html;glacier-athletic;oriflame;Sweden;men;2008;orange, lemon, sea water, bergamot;artemisia, cardamom;sandalwood, guaiac wood, amber, tonka bean
https://www.fragrantica.com/perfume/bi-es/fiori-di-luna-30373.html;fiori-di-luna;bi-es;Poland;women;2014;mandarin orange, grapefruit;orange, peach;woody notes, musk
https://www.fragrantica.com/perfume/brocard/svetskaya-lvitsa-27439.html;svetskaya-lvitsa;brocard;Russia;women;2008;green apple, black currant, plum;rose, freesia, lily-of-the-valley;musk, cedar, sandalwood
https://www.fragrantica.com/perfume/avon/sunshine-kiss-31454.html;sunshine-kiss;avon;USA;women;2015;carambola (star fruit);frangipani;musk
https://www.fragrantica.com/perfume/abercrombie-fitch/away-weekend-man-83094.html;away-weekend-man;abercrombie-fitch;USA;men;2023;bergamot, apple, cardamom, clementine;lavender, clary sage, cypress, rosemary;atlas cedar, patchouli, cacao
https://www.fragrantica.com/perfume/aftelier/sepia-14906.html;sepia;aftelier;USA;unisex;2012;mandarin orange, grapefruit, cedar;jasmine, big strawberry, coffee, cacao, lotus;ambergris, white tobacco, boletus edulis, indole, agarwood (oud), labdanum
